,index,Repo,commit_message,time,churn,insertions,deletions,files_changed
109,19437,csc216-001-P3-001,b'fixed a problme with our linkedList',1480300006,1,0,4,1,B
110,19438,csc216-001-P3-001,b'removed unneeded import',1480141406,1,1,0,1,N
111,19439,csc216-001-P3-001,b'fixed checkstyle',1480135814,2,2,2,2,B
112,19440,csc216-001-P3-001,b'removed unneeded imports',1479928559,1,2,0,1,N
113,19441,csc216-001-P3-001,b'worked on implementing linkedList\ntested TaskList',1479928470,3,48,137,3,E
114,19442,csc216-001-P3-001,b'increased coverage for CategoryList.java + fixed logic error in\nArrayList',1479849852,3,16,71,3,T
115,19443,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1479790295,3,20,33,3,N
116,19444,csc216-001-P3-001,b'Properly set up JSpinners',1479769927,1,6,7,1,U
117,19445,csc216-001-P3-001,b'Made some updates to TaskList',1479769505,3,14,26,3,E
118,19446,csc216-001-P3-001,b'tested Task.java',1479790284,2,22,73,2,T
119,19447,csc216-001-P3-001,b'tested Category.java',1479769311,1,9,14,1,T
120,19448,csc216-001-P3-001,b'implemented compareTofor Category.java',1479769125,1,2,9,1,E
121,19449,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1479768887,4,90,95,4,N
122,19450,csc216-001-P3-001,b'Finished testing ToDoList minus update method',1479768399,4,16,34,4,N
123,19451,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1479766370,2,23,69,2,N
124,19452,csc216-001-P3-001,b'Added tests for ToDoList minus the IO and update methods',1479766340,2,74,61,2,T
125,19453,csc216-001-P3-001,b'updated task lists update method began to ttest category',1479768862,3,11,26,3,E
126,19454,csc216-001-P3-001,b'tested the arrayList class',1479764870,2,23,69,2,T
127,19455,csc216-001-P3-001,b'Updated TaskTableModel to match TaskList functionality',1479764758,1,10,9,1,E
128,19456,csc216-001-P3-001,b'Fixed warning in ToDoList',1479764288,1,1,0,1,B
129,19457,csc216-001-P3-001,b'Mostly Implements ToDoList',1479764239,2,9,62,2,E
130,19458,csc216-001-P3-001,b'fixed small mistakes and errors in TaskList.java implementation',1479763244,2,10,8,2,B
131,19459,csc216-001-P3-001,b'implemented TaskList + updated to2DArray method in categoryList to work\ncorrectly',1479762622,2,8,6,2,E
132,19460,csc216-001-P3-001,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-001.git""",1479762344,1,31,87,1,N
133,19461,csc216-001-P3-001,b'Tentative implementation of TaskEditPane minus update method',1479761280,1,31,87,1,E
134,19462,csc216-001-P3-001,b'fixed private constructor for Tasklist',1479762333,1,5,52,1,B
135,19463,csc216-001-P3-001,b'implemented CategoryList',1479760012,1,10,53,1,E
136,19464,csc216-001-P3-001,b'implemented Task (forgot to push the file)',1479758159,1,5,13,1,E
137,19465,csc216-001-P3-001,b'Still implementing TaskEditPane',1479755726,1,3,61,1,E
138,19466,csc216-001-P3-001,b'Began implementing TaskEditPane minor tweaks to TaskListPane',1479753682,2,5,31,2,E
139,19467,csc216-001-P3-001,b'Modified TaskListPane to have a TaskTableModel field',1479752554,3,5,9,3,E
140,19468,csc216-001-P3-001,b'Tentative implementation of TaskListPane\n\nTaskListPane.update(Observable Object) not yet implemented',1479751906,1,13,25,1,E
141,19469,csc216-001-P3-001,b'Tentative Implementation of TaskTableModel',1479750681,1,10,33,1,E
142,19470,csc216-001-P3-001,b'Generated javadoc',1479693497,22,0,3352,22,N
143,19471,csc216-001-P3-001,"bjavadoc'd TaskEditPane\n\nfixed remaining style based checkstyle warnings""""""""javadoc'd TaskEditPane\n\nfixed remaining style based checkstyle warnings""""javadoc'd TaskEditPane\n\nfixed remaining style based checkstyle warnings""",1479693329,3,55,171,3,B
144,19472,csc216-001-P3-001,b'Some more checkstyle fixes',1479672500,2,10,147,2,B
145,19473,csc216-001-P3-001,b'Fixing CheckStyle warnings',1479663377,14,21,137,14,B
146,19474,csc216-001-P3-001,b'Added unimplemented JUnit test classes for all non-UI classes',1479662319,8,0,873,8,T
147,19475,csc216-001-P3-001,b'Lists also now implement the List interface',1479661842,2,3,3,2,E
148,19476,csc216-001-P3-001,b'Added Serializable to ArrayList and LinkedList',1479661688,2,3,7,2,E
149,19477,csc216-001-P3-001,b'And some more errors found and fixed',1479660688,1,1,2,1,B
150,19478,csc216-001-P3-001,b'Fixed some errors in the skeleton',1479660525,2,4,7,2,B
151,19479,csc216-001-P3-001,b'No more Project errors',1479659913,3,28,42,3,N
152,19480,csc216-001-P3-001,b'Fixed typos in methods fro ToDoList',1479659234,2,5,5,2,B
153,19481,csc216-001-P3-001,b'Added missing method to ToDoList',1479658896,4,7,116,4,E
154,19482,csc216-001-P3-001,b'imported missing package for TaskListPane',1479610319,1,0,2,1,E
155,19483,csc216-001-P3-001,b'created skeleton for TaskEditPane + implemented getters and setters',1479610277,1,0,136,1,E
156,19484,csc216-001-P3-001,b'implemented category\n',1479608971,1,27,51,1,E
157,19485,csc216-001-P3-001,b'implemented arrayList',1479599918,1,11,95,1,E
158,19486,csc216-001-P3-001,b'finished skeleton of back end',1479598387,3,8,109,3,N
159,19487,csc216-001-P3-001,b'created util classes',1479526724,4,1,173,4,E
160,19488,csc216-001-P3-001,b'implemented Task',1479525317,1,0,239,1,E
161,19489,csc216-001-P3-001,b'added all model classes begin to fill out skeletons for Category and\nCategoryList',1479523298,4,0,254,4,E
162,19490,csc216-001-P3-001,b'Added TS classes and GUI skeleton',1479500303,20,0,2393,20,E
163,19492,csc216-001-P3-002,b'Saved the BBTP as a pdf',1480699306,1,0,0,1,N
164,19493,csc216-001-P3-002,b'Did the black box tests',1480698095,1,0,0,1,T
165,19494,csc216-001-P3-002,b'Added a couple of black box tests',1480691320,1,0,0,1,T
166,19495,csc216-001-P3-002,b'Regenerated Javadoc.\n',1480688715,74,155,197,74,N
167,19496,csc216-001-P3-002,b'Renamed project_docs directory.\n',1480688604,2,0,0,2,N
168,19497,csc216-001-P3-002,b'Added initial Black Box tests.\n',1480654499,1,0,0,1,E
169,19498,csc216-001-P3-002,b'Fixed task bugs in the GUI.\n',1480652679,2,17,28,2,B
170,19499,csc216-001-P3-002,b'Addressed new PMD warnings.\n',1480649038,1,3,6,1,B
171,19500,csc216-001-P3-002,"bMerge branch 'master' of github.ncsu.edu:engr-csc216-fall2016/csc216-001-P3-002\n""""""""Merge branch 'master' of github.ncsu.edu:engr-csc216-fall2016/csc216-001-P3-002\n""""Merge branch 'master' of github.ncsu.edu:engr-csc216-fall2016/csc216-001-P3-002\n""",1480648623,4,16,36,4,N
172,19501,csc216-001-P3-002,b'Added an Observer for categories in ToDoList constructor',1480648029,1,0,1,1,E
173,19502,csc216-001-P3-002,b'Tried fixing CategoryList.update',1480647600,1,1,1,1,B
174,19503,csc216-001-P3-002,b'In ToDoList.update',1480647181,1,0,1,1,E
175,19504,csc216-001-P3-002,b'Tried to fix TaskList.addTask',1480646352,2,28,44,2,B
176,19505,csc216-001-P3-002,b'Tried fixing TaskList.addTask again',1480645962,2,24,34,2,B
177,19506,csc216-001-P3-002,b'I added this as a parameter in the notifyObserver call in removeCategory',1480644223,1,1,1,1,E
178,19507,csc216-001-P3-002,b'Did the same thing in CategoryList',1480644059,1,2,2,1,U
179,19508,csc216-001-P3-002,b'Passed in this in the notifyObserver calls in TaskList',1480643950,1,3,3,1,E
180,19509,csc216-001-P3-002,b'Removed the parameter in TaskList.setName() in the notifyObserver call',1480643787,1,1,1,1,E
181,19510,csc216-001-P3-002,b'Added setChanged before a couple of notifies',1480643601,2,1,3,2,E
182,19511,csc216-001-P3-002,"bDidn't work I put it back to how it was""""""""Didn't work I put it back to how it was""""Didn't work I put it back to how it was""",1480643149,1,17,7,1,N
183,19512,csc216-001-P3-002,"bMerge branch 'GUI-Branch'\n\nssage to explain why this merge is necessary\n""""""""Merge branch 'GUI-Branch'\n\nssage to explain why this merge is necessary\n""""Merge branch 'GUI-Branch'\n\nssage to explain why this merge is necessary\n""",1480648417,3,29,145,3,N
184,19513,csc216-001-P3-002,b'JSpinners are now cleared when disabled.\n',1480648274,2,19,60,2,U
185,19514,csc216-001-P3-002,b'Most GUI features are working.\n',1480642518,1,11,27,1,N
186,19515,csc216-001-P3-002,b'GUI progress.\n',1480640339,2,23,82,2,T
187,19516,csc216-001-P3-002,b'Changed the way TaskList.addTask() works',1480643045,1,7,17,1,E
188,19517,csc216-001-P3-002,b'Changed how ToDoList.update() updates isChanged',1480642363,1,1,1,1,E
189,19518,csc216-001-P3-002,b'Undid what I just did',1480641508,1,17,7,1,N
190,19519,csc216-001-P3-002,b'Tried to fix it again',1480641343,1,1,1,1,B
191,19520,csc216-001-P3-002,b'Tried to fix failed test when adding a task to the list',1480640542,1,7,17,1,B
192,19521,csc216-001-P3-002,b'Fixed Category.toString',1480639666,5,14,12,5,B
193,19522,csc216-001-P3-002,b'Attempted to fix the first two failed tests',1480636646,2,0,2,2,B
194,19523,csc216-001-P3-002,b'Fixed failing tests in arraylist and linkedlist',1480630606,2,0,22,2,B
195,19524,csc216-001-P3-002,b'Removed the error',1480630197,1,2,0,1,B
196,19525,csc216-001-P3-002,b'Finished ToDoListTest',1480630109,2,20,61,2,N
197,19526,csc216-001-P3-002,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-002.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-002.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-001-P3-002.git""",1480629038,2,20,17,2,N
198,19527,csc216-001-P3-002,b'Fixed PDM warnings.\n',1480628807,2,20,17,2,B
199,19528,csc216-001-P3-002,"bAdded a couple tests for ToDoList and added a -1\n\nAdded -1 at line 136 when creating a task list's id""""""""Added a couple tests for ToDoList and added a -1\n\nAdded -1 at line 136 when creating a task list's id""""Added a couple tests for ToDoList and added a -1\n\nAdded -1 at line 136 when creating a task list's id""",1480628900,2,29,24,2,T
200,19529,csc216-001-P3-002,b'Fixed ToDoList so that the GUI will open.\n',1480628188,2,18,21,2,B
201,19530,csc216-001-P3-002,b'Fixed of minor FindBugs errors.\n',1480626354,3,13,13,3,B
202,19531,csc216-001-P3-002,b'Regenerated Javadoc pages.\n',1480625028,75,170,185,75,N
203,19532,csc216-001-P3-002,b'Implemented ToDoList.update().\n',1480624884,1,3,4,1,E
204,19533,csc216-001-P3-002,b'Implemented TaskTableModel.\n',1480624667,1,11,21,1,E
205,19534,csc216-001-P3-002,b'Implemented TaskListPane.\n',1480615149,1,11,43,1,E
206,19535,csc216-001-P3-002,b'Implemented TaskEditPane.\n',1480613995,1,30,167,1,E
207,19536,csc216-001-P3-002,b'Implemented ToDoList.removeTaskList',1480560300,1,6,20,1,E
208,19537,csc216-001-P3-002,b'Fixed the add method',1480527369,1,2,1,1,B
209,19538,csc216-001-P3-002,b'Implemented ToDoList.addTaskList',1480527201,1,2,19,1,E
210,19539,csc216-001-P3-002,b'Implemented a couple methods in ToDoList',1480478332,1,2,8,1,E
211,19540,csc216-001-P3-002,b'Implemented and tested CategoryList class.\n',1480184286,3,36,287,3,E
212,19541,csc216-001-P3-002,b'Fixed new Checkstyle errors.\n',1480127339,1,3,1,1,B
213,19542,csc216-001-P3-002,b'Regenerated Javadoc pages.\n',1480127130,74,100,169,74,N
214,19543,csc216-001-P3-002,b'Implemented and tested TaskList.\n',1480127019,7,54,292,7,E
215,19544,csc216-001-P3-002,b'Improved code coverage.\n',1480117397,3,0,12,3,T
216,19545,csc216-001-P3-002,b'Implemented Category.toString().\n',1480116714,3,5,19,3,E
217,19546,csc216-001-P3-002,b'Added Javadoc comments to test classes.\n',1480115793,4,1,131,4,T
218,19547,csc216-001-P3-002,b'Added Javadoc comments to the GUI classes.\n',1480114951,77,505,805,77,T
219,19548,csc216-001-P3-002,b'Created and tested Category minus toString',1480043920,2,30,79,2,E
220,19549,csc216-001-P3-002,b'Made Category',1480023514,2,4,26,2,E
221,19550,csc216-001-P3-002,b'Tested task',1480022265,2,84,161,2,T
222,19551,csc216-001-P3-002,b'Fixed LinkedList and its tests',1480019608,2,11,14,2,B
223,19552,csc216-001-P3-002,b'Created and tested LinkedList generated javadoc for what we have so far',1480018424,94,34,21359,94,T
224,19553,csc216-001-P3-002,b'Created and tested ArrayList',1480013422,2,33,253,2,T
225,19554,csc216-001-P3-002,b'Made most of Task and commented the Lists',1479964917,6,16,69,6,N
226,19555,csc216-001-P3-002,b'Commented ToDoList',1479943884,1,10,59,1,N
227,19556,csc216-001-P3-002,b'Commented classes in Model package',1479942307,7,34,302,7,N
228,19557,csc216-001-P3-002,b'Created empty test files.\n',1479658264,9,2,495,9,N
229,19558,csc216-001-P3-002,b'Imported the todolist.ui package.\n',1479657816,10,0,1871,10,N
230,19559,csc216-001-P3-002,b'Fixed several method name typos.\n',1479657735,8,46,297,8,B
231,19560,csc216-001-P3-002,b'Added skeleton methods to ui package.\n',1479656739,3,3,225,3,T
232,19561,csc216-001-P3-002,b'Fixed model class headers.\n',1479654559,5,5,18,5,B
233,19562,csc216-001-P3-002,b'Moved files to Project3 directory.\n',1479653094,30,656,656,30,N
234,19563,csc216-001-P3-002,b'Added sketeton methods to model classes.\n',1479599804,9,9,578,9,T
235,19564,csc216-001-P3-002,b'Created empty class files.\n',1479579641,12,0,63,12,T
236,19565,csc216-001-P3-002,b'Created Eclipse project.\n',1479579626,3,0,24,3,T
237,19567,csc216-001-P3-003,b'deleted old black box test plan',1480716847,1,0,0,1,T
238,19568,csc216-001-P3-003,b'added the test file from the black box test plan',1480716616,1,0,0,1,T
239,19569,csc216-001-P3-003,b'added black box tests and black',1480716426,2,0,0,2,T
240,19570,csc216-001-P3-003,b'Fixed order of the task lists',1480715928,1,3,8,1,B
241,19571,csc216-001-P3-003,b'Generated the javadoc for Project3.',1480714030,78,0,17627,78,N
242,19572,csc216-001-P3-003,"bUploading nlwrenn's copy of the Black box test plan with Daniel.""""""""Uploading nlwrenn's copy of the Black box test plan with Daniel.""""Uploading nlwrenn's copy of the Black box test plan with Daniel.""",1480713259,1,0,0,1
243,19573,csc216-001-P3-003,b'changed so that we can save to specific files',1480712989,1,1,1,1,E
244,19574,csc216-001-P3-003,b'Implemented a fix for the bug where task lists could not be loaded froma\nfile with Daniel.',1480712460,4,1,1,4,B
245,19575,csc216-001-P3-003,b'Implemented a fix for a bug where new task lists could not be added with\nDaniel.',1480712073,2,6,8,2,B
246,19576,csc216-001-P3-003,b'Implemented a more appropriate fix to the column bug and fixed an issue\nwhere Tasks could no longer be edited.',1480710417,2,9,20,2,B
247,19577,csc216-001-P3-003,b'Implemented a fix for the bug where columns were getting populated by\nthe wrong data.',1480709362,2,12,11,2,B
248,19578,csc216-001-P3-003,b'reverted back to original colnames',1480708194,2,2,2,2,N
249,19579,csc216-001-P3-003,b'changed order of task table headers',1480707886,2,2,2,2,E
